Splunkbase_ID,App_Name,Folder_Name,Developed_By,Latest_Version,type,Cisco_App_Class,Support,Supported_Cisco_Products_Zipped,Deprecated,Replacement,Archived,Archive_Status,Sourcetypes
3686,Cisco Secure Endpoint (formerly AMP for endpoints) CIM Add-On,TA-cisco-amp4e,Cisco AMPPortal,2.1.2,addon,,not_supported,Cisco Secure Endpoint (CSE/AMP),No,,FALSE,live,cisco:amp:event
3800,Firegen Log Analyzer for Cisco ASA,firegen_cisco_asa,Adrian Grigorof,1.2,app,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,,TRUE,archived,
3820,Cisco Network Assurance Engine Add-on for Splunk Enterprise (Cisco NAE),TA_cisco-candid,Cisco Systems,2.6.0,addon,,developer,Cisco Network Assurance Engine,No,7777,TRUE,archived,cisco:candid:events
3821,Cisco Network Assurance Engine App for Splunk Enterprise (Cisco NAE),cisco-app-candid,Cisco Systems,2.5.0,app,,developer,Cisco Network Assurance Engine,No,7777,TRUE,archived,
3827,Cisco StealthWatch Add-On,TA-cisco-stealthwatch,Nadhem AlFardan,1.0.0,addon,,not_supported,Cisco Secure Network Analytics (SNA),No,7404,TRUE,archived,cisco:stealthwatch:alert
3848,Technology Add-on for Cisco Stealthwatch Data Exporter,TA-stealthwatch_dataexporter,Discovered Intelligence,1,addon,,developer,Cisco Secure Network Analytics (SNA),No,7404,TRUE,archived,stealthwatch:fc:flow
3926,Cisco Umbrella Add-On for Splunk,TA-cisco_umbrella,Hurricane Labs,1.0.7,addon,,not_supported,Cisco Umbrella,No,7569,TRUE,archived,opendns:auditlogs|opendns:dnslogs|opendns:firewalllogs|opendns:iplogs|opendns:proxylogs|opendns:s3
3955,Cisco Firepower Threat Defense FTD sourcetype,TA-cisco-firepower-threat-defense-ftd-sourcetype,Juan Jose Ponce Dominguez,1.0.3,addon,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,7404,TRUE,archived,cisco:ftd
4010,Cisco Firepower Threat Defense FTD Dashboards,TA-cisco-firepower-threat-defense-ftd-dashboards,Juan Jose Ponce Dominguez,1.0.0,app,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,7404,TRUE,archived,
4015,Cisco openVuln API Query,SA-openVulnQuery,Nathan Worsham,1.1,addon,,not_supported,Cisco Product Security Incident Response Team (PSIRT),No,,TRUE,archived,
4221,Cisco Endpoint Security Analytics (CESA) Add-On for Splunk,TA-Cisco-NVM,Cisco Systems,4.0.7,addon,,not_supported,Cisco Network Visibility Module (NVM),No,,FALSE,live,cisco:nvm:eve|cisco:nvm:flowdata|cisco:nvm:ifdata|cisco:nvm:osquery|cisco:nvm:processinfodata|cisco:nvm:sysdata
4251,Cisco Threat Grid Add-On,TA-cisco-threat-grid,Cisco Security,1.1.0,addon,,developer,Cisco Threat Grid,No,7404,TRUE,archived,cisco:tg:data
4388,Cisco Secure Firewall App for Splunk,firepower_dashboard,Cisco Security,1.9.1,app,,developer,Cisco Secure Firewall (FTD/eStreamer/ASA),No,7404,FALSE,flagged,cisco:estreamer:data|cisco:firepower:syslog|default
4434,TA for Cisco CDR Reporting and Analytics,TA_cisco_cdr,Sideview LLC,8.3.1,addon,,developer,"Cisco Unified Communications Manager (CUCM), Cisco Webex (Webex)",No,,FALSE,live,cube_cdr|cube_cdr_compact|cube_syslog|cucm_audit|cucm_cdr|cucm_cmr
4640,Supporting App for AXL,SA_cisco_cdr_axl,Sideview LLC,1.2.7,app,,developer,Cisco Unified Communications Manager (CUCM),No,,FALSE,live,sa_cisco_cdr_axl_log
4761,Cisco SecureX threat response - Custom Search Command,TA-cisco-threat-response,Cisco Security,1.2.2,addon,,developer,Cisco SecureX,No,7404,TRUE,archived,cisco:tr:data|ta:cisco:threat:response:log
4785,Enosys Add-on for Cisco Firepower eStreamer,Splunk_TA_cisco-estreamer_Enosys,Simon Sigre,1.0.0,addon,,developer,Cisco Secure Firewall (FTD/eStreamer/ASA),No,7404,TRUE,archived,cisco:estreamer:data|cisco:estreamer:log|cisco:firepower:syslog
4817,Cisco Bug Search and Analytics,Cisco_Bug_Search_and_Analytics,Pavel Prostin,0.1.4,app,,developer,Cisco Bug Search Tool (BST),No,,FALSE,flagged,cisco:bugs:csv|cisco:bugs:json
4838,Meraki SNMP trap Add-on for Splunk,TA_Meraki_SNMP_trap,Laxmi Redij,1.0.0,addon,,developer,Cisco Meraki (Meraki),No,5580,TRUE,archived,meraki_syslog
4870,Cisco Webex Teams Alert Action,WebexTeams_AlertAction,Venkat Bongoni,1.0.3,addon,,not_supported,Cisco Webex,No,,TRUE,archived,
4991,Cisco WebEx Meetings Add-on for Splunk,ta-cisco-webex-meetings-add-on-for-splunk,Splunk Works,1.1.14,addon,,not_supported,Cisco Webex (Webex),Yes,8365,TRUE,archived,cisco:webex:meetings:general:summarysession|cisco:webex:meetings:history:eventattendeehistory|cisco:webex:meetings:history:eventsessionhistory|cisco:webex:meetings:history:meetingattendeehistory|cisco:webex:meetings:history:meetingusagehistory|cisco:webex:meetings:history:recordaccesshistory|cisco:webex:meetings:history:supportattendeehistory|cisco:webex:meetings:history:supportsessionhistory|cisco:webex:meetings:history:trainingattendeehistory|cisco:webex:meetings:history:trainingsessionhistory|taciscowebexmeetingsaddonforsplunk:log
4992,Cisco WebEx Meetings App for Splunk,cisco_webex_meetings_app_for_splunk,Splunk Works,1.0.3,app,,not_supported,Cisco Webex (Webex),No,8365,TRUE,archived,
5020,Add-on for Cisco Prime Infrastructure,TA-add-on-for-cisco-prime-infrastructure,Christopher Caldwell,2.1.2,addon,,developer,Cisco Prime Infrastructure (Cisco Prime),No,7858,TRUE,archived_manually,cisco:pi:data:accesspoints|cisco:pi:data:alarms|cisco:pi:data:clients|cisco:pi:data:clientsessions|cisco:pi:data:devices|cisco:pi:data:events|cisco:pi:data:inventorydetails|taaddonforciscoprimeinfrastructure:log
5116,MIME Decoder Add-on for Cisco ESA,Alef_TA_MIMEDecoder,Tomas Moser,1.0.9,addon,,developer,Cisco Secure Email Gateway,No,,FALSE,live,
5152,Technology Add-on for Webex Teams,TA-DP-webex-teams,Datapunctum AG,1.0.1,addon,,developer,Cisco Webex (Webex),No,8365,TRUE,archived,tadpwebexteams:log|webex:teams:adminaudit:events|webex:teams:events
5183,Cisco PSIRT openVuln API Add-on for Splunk,ti-cisco-vuln,Graham Morley,1.0.0,addon,,not_supported,Cisco Product Security Incident Response Team (PSIRT),No,,TRUE,archived,cisco:vuln:advisories|cisco:vuln:advisories:cvrf:note|cisco:vuln:advisories:cvrf:product|cisco:vuln:advisories:cvrf:summary|cisco:vuln:advisories:cvrf:vuln
5238,Splunk Add-on for Stream Forwarders,Splunk_TA_stream,Splunk LLC,8.1.5,addon,Prerequisites,,,,,FALSE,live,
5322,Cisco Firepower pcap Add-on,TA-cisco-firepower-pcap-add-on,D C,1.0.0,addon,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,,TRUE,archived,
5420,Cisco SecureX threat response - CESA Relay,tr-splunk-relay,Cisco Security,1.2.1,addon,,developer,Cisco Network Visibility Module (NVM),No,7404,TRUE,archived,trsplunkrelay:log
5470,Cisco DMP/APP Add-On for Splunk,TA-cisco_DP_PD,Agari Data,1.1.0,addon,,not_supported,Cisco Domain Protection,No,,TRUE,archived,cisco:app:messages|cisco:app:policy_events|cisco:app:status|cisco:dp:alerts|cisco:dp:failures|cisco:dp:status|cisco:dp:threatfeeds|ta:cisco:logs
5471,Cisco DMP/APP App for Splunk,Cisco_DP_PD,Agari Data,1.0.2,app,,not_supported,Cisco Domain Protection,No,,TRUE,archived,
5524,Cisco Web Security Appliance (WSA) Insight,Cisco_WSA_Insight,Pavel Prostin,0.0.11,app,,developer,Cisco Web Security Appliance (WSA),No,,FALSE,flagged,cisco:wsa:prox_track|cisco:wsa:shd|cisco:wsa:systemlogs
5543,Splunk TA CCX Unified Cisco Firepower eStreamer,Splunk_TA_CCX_Unified_Cisco_Firepower_eStreamer,CCX,1.1.3,addon,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,,FALSE,live,cisco:estreamer:data
5557,Cisco Cloud Security Umbrella Add-on for Splunk,TA-cisco-cloud-security-umbrella-addon,Cisco Systems,1.0.33,addon,,not_supported,Cisco Umbrella,No,7569,TRUE,archived_manually,cisco:umbrella:audit|cisco:umbrella:dlp|cisco:umbrella:dns|cisco:umbrella:firewall|cisco:umbrella:ip|cisco:umbrella:proxy
5558,Cisco Secure Access App for Splunk,cisco-cloud-security,"Cisco Systems, Inc.",1.0.53,app,Main Apps,cisco,"Cisco Cloudlock Cloud Access Security Broker (CASB), Cisco Secure Access (SSE), Cisco ThousandEyes (TE), Cisco Umbrella",No,,FALSE,live,cisco:cloud_security:appdiscovery|cisco:cloud_security:audit|cisco:cloud_security:cloudlock|cisco:cloud_security:dlp|cisco:cloud_security:dns|cisco:cloud_security:fileevent|cisco:cloud_security:firewall|cisco:cloud_security:intrusion|cisco:cloud_security:investigated|cisco:cloud_security:ip|cisco:cloud_security:privateapps|cisco:cloud_security:proxy|cisco:cloud_security:ravpn|cisco:cloud_security:ztna|cisco:cloud_security:ztnaenrollment|cisco:cloud_security:ztnaflow
5580,Cisco Meraki Add-on for Splunk,Splunk_TA_cisco_meraki,"Cisco Systems, Inc.",3.2.0,addon,Main Apps,cisco,Cisco Meraki (Meraki),No,,FALSE,live,cisco_meraki_log|meraki:accesspoints|meraki:airmarshal|meraki:apirequestshistory|meraki:apirequestsoverview|meraki:apirequestsresponsecodes|meraki:appliancesdwanstatistics|meraki:appliancesdwanstatuses|meraki:assurancealerts|meraki:audit|meraki:cameras|meraki:devices|meraki:devicesavailabilitieschangehistory|meraki:devicesuplinksaddressesbydevice|meraki:firmwareupgrades|meraki:licensescotermlicenses|meraki:licensesoverview|meraki:licensessubscriptionentitlements|meraki:licensessubscriptions|meraki:organizations|meraki:organizationsecurity|meraki:organizationsnetworks|meraki:portstransceiversreadingshistorybyswitch|meraki:powermodulesstatusesbydevice|meraki:securityappliances|meraki:sensorreadingshistory|meraki:summaryswitchpowerhistory|meraki:summarytopappliancesbyutilization|meraki:summarytopclientsbyusage|meraki:summarytopdevicesbyusage|meraki:summarytopswitchesbyenergyusage|meraki:switches|meraki:switchportsbyswitch|meraki:switchportsoverview|meraki:webhook|meraki:webhooklogs:api|meraki:wirelesscontrolleravailabilitieschangehistory|meraki:wirelesscontrollerdevicesinterfacespacketsoverviewbydevice|meraki:wirelesscontrollerdevicesinterfacesusagehistorybyinterval|meraki:wirelessdevicesethernetstatuses|meraki:wirelessdevicespacketlossbydevice|meraki:wirelessdeviceswirelesscontrollersbydevice
5605,Cisco SecureX threat response - Relay module,relay-module,Cisco Security,1.1.1,app,,developer,Cisco SecureX,No,7404,TRUE,archived,
5737,Cisco ThousandEyes Alerting App for Splunk,cisco_thousandeyes_alerting_app_for_splunk,Splunk Developer,1.0.1,app,,not_supported,Cisco ThousandEyes (TE),No,7719,TRUE,archived,snmptrap|snow:incident|thousandeyes:alerts|thousandeyes:enriched_alerts
5743,Cisco Suite for Splunk,Cisco-suite-for-splunk,Prewin Thomas,1.1.1,app,,not_supported,"Cisco Secure Firewall (FTD/eStreamer/ASA), Cisco Identity Services Engine (ISE), Cisco Secure Email Gateway, Cisco Web Security Appliance (WSA)",No,,FALSE,live,
5747,Cisco Cyber Vision Splunk App,cisco_cybervision_app_for_splunk,Cyber Vision,2.2.0,app,,developer,Cisco Cyber Vision (CCV),No,,FALSE,live,cisco:cybervision:events
5748,Cisco Cyber Vision Splunk Add On,TA-cisco_cybervision,Cyber Vision,2.2.0,addon,,developer,Cisco Cyber Vision (CCV),No,,FALSE,live,cisco:cybervision:activities|cisco:cybervision:components|cisco:cybervision:devices|cisco:cybervision:events|cisco:cybervision:flows|cisco:cybervision:syslog|cisco:cybervision:vulnerabilities|taciscocybervision:log
5779,Cisco ESA,7bf76da9-f31c-448b-906b-7c6de9d3cc70,Splunk,3.0.2,connector,SOAR,splunk,Cisco Secure Email Gateway,No,,FALSE,live,
5780,Cisco Umbrella Investigate,5fc14867-8c8e-4cc2-8198-641df784bf1a,Splunk,1.2.2,connector,SOAR,splunk,Cisco Umbrella,No,,FALSE,live,
5781,Cisco Webex,34624d1a-f0ae-47d6-a731-8499d5617cf7,Splunk,2.2.0,connector,SOAR,splunk,Cisco Webex,No,,FALSE,live,
5885,Cisco ISE,85232924-4776-4896-88fa-b982b304af7c,Splunk,3.2.1,connector,SOAR,splunk,Cisco Identity Services Engine (ISE),No,,FALSE,live,
5887,Cisco Umbrella,96f3e021-5396-42d0-97f4-4fab683e9adb,Splunk,1.2.4,connector,SOAR,splunk,Cisco Umbrella,No,,FALSE,live,
5897,FireAMP,897890aa-14f5-4d6c-b68c-e557ff30d251,Splunk,2.1.14,connector,SOAR,splunk,Cisco Secure Endpoint (CSE/AMP),No,,FALSE,live,
5995,Cisco Firepower,F501CF42-46D4-4023-A156-208640865AA8,Splunk,2.0.4,connector,SOAR,splunk,Cisco Secure Firewall (FTD/eStreamer/ASA),No,,FALSE,live,
6117,Cisco Nexus Dashboard Insights App for Splunk (deprecated),cisco-app-NI,Cisco Systems,1.1.0,app,,developer,Cisco Nexus Switches (NEX),Yes,7777,TRUE,archived_manually,
6118,Cisco Nexus Dashboard Insights Add-On for Splunk (deprecated),TA_cisco-NI,Cisco Systems,1.1.0,addon,,developer,Cisco Nexus Switches (NEX),Yes,7777,TRUE,archived_manually,cisco:ni:advisories|cisco:ni:anomalies|tacisconi:log
6145,Cisco Secure Malware Analytics (Threat Grid),e52c6b70-2972-47e2-ad80-c131f9604ff4,Splunk,2.4.4,connector,SOAR,splunk,Cisco Secure Malware Analytics (SMA),No,,FALSE,live,
6201,Add On for Cisco Meraki Operations,TA-cisco_meraki_operations,Summit Technology Group,2.0.0,addon,,developer,Cisco Meraki (Meraki),No,5580,TRUE,archived,meraki:devices|meraki:networkdevices|meraki:uplinks|meraki:uplinkslossandlatency
6398,Cisco Secure Network Analytics (Stealthwatch) App for Splunk Enterprise,cisco_sna_app,Cisco Systems,2.0.4,app,,not_supported,Cisco Secure Network Analytics (SNA),No,,FALSE,live,
6460,Splunk TA CCX Cisco ISE,Splunk_TA_CCX_Cisco_ISE,CCX,1.0.4,addon,community_alternative,not_supported,Cisco Identity Services Engine (ISE),No,,FALSE,live,cisco:ise:syslog
6481,Splunk TA CCX Cisco Secure Endpoint,Splunk_TA_CCX_Cisco_Secure_Endpoint,CCX,1.0.4,addon,community_alternative,not_supported,Cisco Secure Endpoint (CSE/AMP),No,,FALSE,live,cisco:amp:event
6482,Cisco Intersight Add-on for Splunk (Deprecated),TA-intersight-addon,Karthik Karupasamy,1.3.1,addon,,not_supported,Cisco Intersight (Intersight),Yes,7828,TRUE,archived,cisco:intersight:aaaauditrecords|cisco:intersight:assetdevicecontractinformations|cisco:intersight:assettargets|cisco:intersight:computephysicalsummaries|cisco:intersight:condalarms|cisco:intersight:condhclstatuses|cisco:intersight:convergedinfrapods|cisco:intersight:default|cisco:intersight:equipmentchassis|cisco:intersight:hyperflexclusters|cisco:intersight:hyperflexlicenses|cisco:intersight:hyperflexnodes|cisco:intersight:hyperflexstoragecontainers|cisco:intersight:licenseaccountlicensedata|cisco:intersight:licenselicenseinfos|cisco:intersight:networkelementsummaries|cisco:intersight:storagehitachiarrays|cisco:intersight:storagehitachicontrollers|cisco:intersight:storagehitachivolumes|cisco:intersight:storagenetappclusters|cisco:intersight:storagenetappnodes|cisco:intersight:storagenetappstoragevms|cisco:intersight:storagenetappvolumes|cisco:intersight:storagepurearrays|cisco:intersight:storagepurecontrollers|cisco:intersight:storagepurevolumes|cisco:intersight:tamadvisoryinstances|taintersightaddon:log
6544,Splunk TA CCX DUO Connector Support,Splunk_TA_CCX_DUO_Connector_Support,CCX,2.0.0,addon,community_alternative,not_supported,Cisco Duo Security (Duo),No,,FALSE,live,duo:authentication
6656,DEPRECATED - Cisco Catalyst SD-WAN Add-on for Splunk,ta-cisco-sdwan,"Cisco Systems, Inc.",3.0.0,addon,,cisco,Cisco Catalyst SD-WAN,Yes,7538,TRUE,archived,cisco:firewall:logs|cisco:sdwan:alert:off|cisco:sdwan:alert:on|cisco:sdwan:block:host|cisco:sdwan:dmi:cli:engine:write:fail|cisco:sdwan:drop:pkt|cisco:sdwan:host:tcp:alert:on|cisco:sdwan:log:summary|cisco:sdwan:pass:pkt|cisco:sdwan:session:audit:trail|cisco:sdwan:session:audit:trail:start|cisco:sdwan:sessions:maximum|cisco:sdwan:smart:lic:platform:error|cisco:sdwan:unblock:host|cisco:sdwan:utd:logs|stream:netflow
6657,DEPRECATED - Cisco Catalyst SD-WAN App for Splunk,cisco-sdwan-app,"Cisco Systems, Inc.",3.1.1,app,Main Apps,cisco,Cisco Catalyst SD-WAN,Yes,7539,FALSE,live,
6668,Cisco DNA Center Add-on,Splunk-TA-cisco-dnacenter,Cisco EN Programmability,1.0.7,addon,,developer,Cisco Catalyst Center,No,7858,FALSE,flagged,cisco:dnac:clienthealth|cisco:dnac:compliance|cisco:dnac:devicehealth|cisco:dnac:issue|cisco:dnac:networkhealth|cisco:dnac:securityadvisory|splunktaciscodnacenter:log
6669,Cisco DNA Center App,Splunk_CiscoDNACenter,"Cisco Systems, Inc.",1.0.3,app,,cisco,Cisco Catalyst Center,No,7859,TRUE,archived,
6872,Cisco Catalyst Enhanced Netflow Add-on for Splunk,splunk_app_stream_ipfix_cisco_hsl,"Cisco Systems, Inc.",2.1.0,addon,Main Apps,cisco,Cisco Catalyst Center,No,,FALSE,live,
7092,Splunk TA CCX Cisco Secure Network Analytics,Splunk_TA_CCX_Cisco_Secure_Network_Analytics,CCX,1.0.5,addon,community_alternative,not_supported,Cisco Secure Network Analytics (SNA),No,,TRUE,archived,cisco:stealthwatch:alert
7219,Cisco Secure Malware Analytics,TA-cisco-secure-malware-analytics,Cisco Security,2.0.0,addon,,developer,Cisco Secure Malware Analytics (SMA),No,7404,FALSE,flagged,
7243,Cisco Email Threat Defense connector for Splunk - DISCONTINUED (use app 7404),TA-cisco-etd-connector,Sergio Pinto,1.0.4,addon,,not_supported,Cisco Email Threat Defense (ETD),No,7404,TRUE,archived_manually,etd_input_python|taciscoetdconnector:log
7365,Splunk TA CCX Cisco Meraki,Splunk_TA_CCX_Cisco_Meraki,CCX,1.0.4,addon,community_alternative,not_supported,Cisco Meraki (Meraki),No,,FALSE,live,meraki:syslog
