Splunkbase_ID,App_Name,Folder_Name,Developed_By,Latest_Version,type,Cisco_App_Class,Splunkbase_URL,Release_Date,Latest_Release_Date, Download_Count ,Support,Supported_Cisco_Products,Supported_Cisco_Products_Zipped,#_Products_Supported,Deprecated,Replacement,Dependencies,Archived,Archive_Status,Sourcetypes,Sourcetypes_Expanded,Collection_Method,Knowledge_Objects,Status,
1809,Splunk App for Stream,splunk_app_stream,Splunk LLC,8.1.5,app,Prerequisites,https://splunkbase.splunk.com/app/1809,,,,,,,,,,,FALSE,live,,,#REF!,#REF!,Prereq,
1811,Technology Add-on for Cisco Secure Access Control Server (ACS),TA-cisco_acs,Dave Shpritz,1.5.2,app,,https://splunkbase.splunk.com/app/1811,"March 3, 2021","March 3, 2021"," 8,387 ",not_supported,Cisco Secure Access Control Server (Cisco ACS),Cisco Secure Access Control Server (Cisco ACS),1,No,,,TRUE,archived,cisco:acs,cisco:acs,,"4 eventtypes, 4 tags, 5 transforms, 4 lookups",Validated,
1896,Cisco ACI App for Splunk Enterprise (deprecated),cisco-app-ACI,Cisco Systems,5.1.0,app,,https://splunkbase.splunk.com/app/1896,"May 23, 2024","May 23, 2024"," 9,673 ",developer,Cisco Application Centric Infrastructure (Cisco ACI),Cisco Application Centric Infrastructure (Cisco ACI),1,Yes,7777,,FALSE,live,,,,"14 transforms, 29 saved searches, 12 lookups, 53 dashboards, 7 datamodels",Validated,
1897,Cisco ACI Add-on for Splunk Enterprise (deprecated),TA_cisco-ACI,Cisco Systems,5.1.0,addon,,https://splunkbase.splunk.com/app/1897,"May 23, 2024","May 23, 2024"," 10,526 ",developer,Cisco Application Centric Infrastructure (Cisco ACI),Cisco Application Centric Infrastructure (Cisco ACI),1,Yes,7777,,FALSE,live,cisco:apic:authentication|cisco:apic:class|cisco:apic:cloud|cisco:apic:health|cisco:apic:stats|cisco:mso,"cisco:apic:authentication
cisco:apic:class
cisco:apic:cloud
cisco:apic:health
cisco:apic:stats
cisco:mso",REST API + Script (13),"13 inputs, 6 eventtypes, 5 tags, 1 transforms, 77 bin files, 1 dashboards",Validated,
1903,Splunk Add-on for Cisco IPS,Splunk_TA_cisco-ips,Splunk Works,2.1.6,addon,,https://splunkbase.splunk.com/app/1903,"August 29, 1974","August 29, 1974"," 6,419 ",not_supported,Cisco Secure Intrusion Prevention System (Cisco Secure IPS),Cisco Secure Intrusion Prevention System (Cisco Secure IPS),1,Yes,,,TRUE,archived_manually,cisco:ips:syslog|cisco_ips_syslog|sdee_connection,"cisco:ips:syslog
cisco_ips_syslog
sdee_connection",Script (3) + File Monitor (2) + Syslog (parsing only),"5 inputs, 2 eventtypes, 2 tags, 4 transforms, 1 lookups, 7 bin files",Validated,
1915,Splunk Add-on for Cisco Identity Services,Splunk_TA_cisco-ise,Splunk LLC,5.0.0,addon,Main Apps,https://splunkbase.splunk.com/app/1915,"November 21, 2024","November 21, 2024"," 35,858 ",splunk,Cisco Identity Services Engine (ISE),Cisco Identity Services Engine (ISE),1,No,,,FALSE,live,cisco:ise|cisco:ise:syslog|syslog,"cisco:ise
cisco:ise:syslog
syslog",Syslog (parsing only),"18 eventtypes, 11 tags, 24 transforms, 3 lookups, 1 dashboards",Validated,
1916,Cisco Nexus 9k App for Splunk Enterprise (deprecated),cisco-app-Nexus-9k,Cisco Systems,3.0.0,app,,https://splunkbase.splunk.com/app/1916,"October 29, 2024","October 29, 2024"," 2,711 ",developer,Cisco Nexus Switches (NEX),Cisco Nexus Switches (NEX),1,Yes,7777,,TRUE,archived_manually,cisco:app:nexus:9k:collect,cisco:app:nexus:9k:collect,,"5 transforms, 6 saved searches, 6 lookups, 52 bin files, 16 dashboards",Validated,
1917,Cisco Nexus 9k Add-on for Splunk Enterprise (deprecated),TA_cisco-Nexus-9k,Cisco Systems,3.0.0,addon,,https://splunkbase.splunk.com/app/1917,"October 29, 2024","October 29, 2024"," 2,999 ",developer,Cisco Nexus Switches (NEX),Cisco Nexus Switches (NEX),1,Yes,7777,,TRUE,archived_manually,cisco:nexus:json|syslog|ta:cisco:nexus:9k:collect,"cisco:nexus:json
syslog
ta:cisco:nexus:9k:collect",Syslog (parsing only),"1 eventtypes, 1 tags, 9 bin files, 1 dashboards",Validated,
2731,Splunk Add-on for Cisco UCS,Splunk_TA_cisco-ucs,Splunk LLC,4.3.1,addon,Main Apps,https://splunkbase.splunk.com/app/2731,"April 25, 2025","April 25, 2025"," 10,083 ",splunk,Cisco Unified Computing System (UCS),Cisco Unified Computing System (UCS),1,No,,,FALSE,live,splunk_ta_cisco_ucs|splunk_ta_cisco_ucs_migration|splunk_ta_cisco_ucs_ta_util|splunk_ta_cisco_ucs_utility|splunk_ta_cisco_ucs_validation|ta_app_conf|ta_cisco_ucs_controller.log,"splunk_ta_cisco_ucs
splunk_ta_cisco_ucs_migration
splunk_ta_cisco_ucs_ta_util
splunk_ta_cisco_ucs_utility
splunk_ta_cisco_ucs_validation
ta_app_conf
ta_cisco_ucs_controller.log",REST API + Script (3),"4 inputs, 32 eventtypes, 24 tags, 4 transforms, 4 lookups, 16 bin files, 3 dashboards",Validated,
2791,Cisco Cloud Web Security (CWS) Add-on for Splunk,Cisco_CWS_TA,Cisco Systems,1.1,addon,,https://splunkbase.splunk.com/app/2791,"April 11, 2017","April 11, 2017", 769 ,not_supported,Cisco Cloud Web Security (CWS),Cisco Cloud Web Security (CWS),1,No,,,TRUE,archived,ciscocws,ciscocws,REST API,"1 inputs, 2 transforms, 2 lookups, 397 bin files",Validated,
2992,Cisco Endpoint Security Analytics (CESA),CiscoNVM,Cisco Systems,4.0.8,app,,https://splunkbase.splunk.com/app/2992,"June 25, 2025","June 25, 2025"," 12,953 ",not_supported,Cisco Secure Email Gateway,Cisco Network Visibility Module (NVM),1,No,,,FALSE,live,cisco:nvm:flowdata|cisco:nvm:processinfodata,"cisco:nvm:flowdata
cisco:nvm:processinfodata",,"13 transforms, 5 saved searches, 12 lookups, 42 dashboards",Validated,
2997,Cisco CallManager API - TA-ciscoaxl,TA-ciscoaxl,Dominique Vocat,0.4,addon,,https://splunkbase.splunk.com/app/2997,"March 17, 2016","March 17, 2016", 707 ,not_supported,Cisco Unified Communications Manager (CUCM),Cisco Unified Communications Manager (CUCM),2,No,4434,,TRUE,archived,,,,"1 transforms, 24 saved searches, 1 lookups, 153 bin files, 2 dashboards",Validated,
3018,TA-meraki,TA-meraki,Myron Davis,1.1.5,addon,,https://splunkbase.splunk.com/app/3018,"October 2, 2020","October 2, 2020"," 12,677 ",developer,Cisco Meraki (Meraki),Cisco Meraki (Meraki),1,No,5580,,TRUE,archived,meraki,meraki,,"6 eventtypes, 7 tags, 91 transforms, 5 lookups",Validated,
3043,Cisco Cloudlock for Splunk,cloudlock,Yaron Caspy,1.0.19,app,,https://splunkbase.splunk.com/app/3043,"April 3, 2024","April 3, 2024"," 2,749 ",not_supported,Cisco Cloudlock Cloud Access Security Broker (CASB),Cisco Cloudlock Cloud Access Security Broker (CASB),1,No,,,FALSE,live,incident,incident,,,Validated,
3194,DUO Log Add-on for Splunk,TA-DUOSecurity2FA,Brian Awood,1.2.2,addon,,https://splunkbase.splunk.com/app/3194,"February 13, 2019","February 13, 2019"," 2,860 ",not_supported,Cisco Duo Security (Duo),Cisco Duo Security (Duo),1,No,7404,,TRUE,archived_manually,duo:authentication,duo:authentication,,"1 eventtypes, 1 tags, 43 bin files",Validated,
3324,Cisco Umbrella Investigate Add-on,opendns_investigate,OpenDNS Cisco,0.10.1,addon,,https://splunkbase.splunk.com/app/3324,"January 11, 2023","January 11, 2023"," 3,919 ",not_supported,Cisco Umbrella,Cisco Umbrella,1,No,7569,,TRUE,archived,opendns_investigate,opendns_investigate,,,Validated,
3384,Cisco Spark Add-on for Splunk,splunk_app_spark_room,Alexandra Olteanu,1.24,addon,,https://splunkbase.splunk.com/app/3384,"September 9, 1974","September 9, 1974", 445 ,not_supported,Cisco Webex (Webex),Cisco Webex (Webex),1,No,8365,,TRUE,archived,,,,,Validated,
3385,Cisco Spark App for Splunk,splunk_spark_app,Alexandra Olteanu,1.3,app,,https://splunkbase.splunk.com/app/3385,"November 23, 2016","November 23, 2016", 468 ,not_supported,Cisco Webex (Webex),Cisco Webex (Webex),1,No,8365,,TRUE,archived,spark_room_log,spark_room_log,,,Validated,
3471,Cisco Splunk Add-on for AppDynamics,Splunk_TA_AppDynamics,Splunk Works,3.1.8,addon,,https://splunkbase.splunk.com/app/3471,"February 17, 2026","February 17, 2026"," 38,130 ",developer,Cisco AppDynamics (AppD),Cisco AppDynamics (AppD),1,No,,,FALSE,live,appdynamics_analytics|appdynamics_audit|appdynamics_custom_metrics|appdynamics_databases|appdynamics_events|appdynamics_hardware|appdynamics_licenses|appdynamics_security|appdynamics_snapshots|appdynamics_status,"appdynamics_analytics
appdynamics_audit
appdynamics_custom_metrics
appdynamics_databases
appdynamics_events
appdynamics_hardware
appdynamics_licenses
appdynamics_security
appdynamics_snapshots
appdynamics_status",REST API (10),"10 inputs, 16 eventtypes, 6 tags, 1 transforms, 44 bin files, 4 dashboards",Validated,
3496,Cisco CMX Add-on for Splunk,TA-CMX,Crest Data Systems,1.4,addon,,https://splunkbase.splunk.com/app/3496,"April 7, 2017","April 7, 2017", 582 ,not_supported,Cisco Connected Mobile Experiences (Cisco CMX),Cisco Connected Mobile Experiences (Cisco CMX),1,No,8485,,TRUE,archived,cmxactive|cmxanalytics|cmxfloor|cmxhttp|cmxmap,"cmxactive
cmxanalytics
cmxfloor
cmxhttp
cmxmap",,"2 eventtypes, 2 tags, 2 transforms, 28 bin files",Validated,
3497,Cisco CMX App for Splunk,CMX,Crest Data Systems,1.3.4,app,,https://splunkbase.splunk.com/app/3497,"September 26, 1974","September 26, 1974", 610 ,not_supported,Cisco Connected Mobile Experiences (Cisco CMX),Cisco Connected Mobile Experiences (Cisco CMX),1,No,8485,,TRUE,archived,cmxactive|cmxhttp,"cmxactive
cmxhttp",REST API + Script,"1 inputs, 3 transforms, 2 saved searches, 2 lookups, 3 bin files, 11 dashboards",Validated,
3504,Duo Splunk Connector,duo_splunkapp,Duo Security,2.1.0,app,,https://splunkbase.splunk.com/app/3504,"November 14, 2024","December 2, 2024"," 15,845 ",developer,Cisco Duo Security (Duo),Cisco Duo Security (Duo),1,Yes,7404,,FALSE,live,,,,,Validated,
3629,Umbrella Add-on for Splunk Enterprise,TA-Umbrella,Mikael Bjerkeland,1,addon,,https://splunkbase.splunk.com/app/3629,"June 23, 2017","June 23, 2017"," 1,742 ",not_supported,Cisco Umbrella,Cisco Umbrella,1,No,7569,,TRUE,archived_manually,opendns:dnslog,opendns:dnslog,,"1 eventtypes, 1 tags, 3 transforms, 1 lookups",Validated,
3662,Cisco Secure eStreamer Client Add-On for Splunk,TA-eStreamer,Cisco Security,5.2.9,addon,,https://splunkbase.splunk.com/app/3662,"October 9, 2023","October 9, 2023"," 118,408 ",developer,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),1,No,7404,,TRUE,archived,cisco:estreamer:data|cisco:estreamer:log|cisco:firepower:syslog,"cisco:estreamer:data
cisco:estreamer:log
cisco:firepower:syslog",Script (3) + File Monitor + CLI/SSH + Syslog (parsing only),"4 inputs, 7 eventtypes, 7 tags, 6 transforms, 6 lookups, 78 bin files",Validated,
3663,Cisco Firepower eNcore App for Splunk,eStreamer-Dashboard,Cisco Security,3.5.3,app,,https://splunkbase.splunk.com/app/3663,"September 6, 2018","September 6, 2018"," 5,504 ",not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),1,No,4388,,TRUE,archived_manually,cisco:estreamer:data,cisco:estreamer:data,,,Validated,
3670,Cisco Secure Endpoint (formerly AMP for endpoints),amp4e_events_input,Cisco Security,3.0.0,app,,https://splunkbase.splunk.com/app/3670,"February 7, 2023","February 7, 2023"," 6,566 ",not_supported,Cisco Secure Endpoint (CSE/AMP),Cisco Secure Endpoint (CSE/AMP),1,No,7404,,TRUE,archived,cisco:amp:event,cisco:amp:event,REST API,"1 inputs, 183 bin files, 4 dashboards",Validated,
3686,Cisco Secure Endpoint (formerly AMP for endpoints) CIM Add-On,TA-cisco-amp4e,Cisco AMPPortal,2.1.2,addon,,https://splunkbase.splunk.com/app/3686,"April 19, 2024","April 19, 2024"," 4,821 ",not_supported,Cisco Secure Endpoint (CSE/AMP),Cisco Secure Endpoint (CSE/AMP),1,No,,,FALSE,live,cisco:amp:event,cisco:amp:event,,"133 eventtypes, 133 tags, 1 transforms, 1 lookups, 1 dashboards",Validated,
3800,Firegen Log Analyzer for Cisco ASA,firegen_cisco_asa,Adrian Grigorof,1.2,app,,https://splunkbase.splunk.com/app/3800,"October 17, 1974","October 17, 1974"," 2,755 ",not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),1,No,,,TRUE,archived,,,,,Validated,
3820,Cisco Network Assurance Engine Add-on for Splunk Enterprise (Cisco NAE),TA_cisco-candid,Cisco Systems,2.6.0,addon,,https://splunkbase.splunk.com/app/3820,"November 23, 2020","November 23, 2020"," 2,976 ",developer,Cisco Network Assurance Engine,Cisco Network Assurance Engine,1,No,7777,,TRUE,archived,cisco:candid:events,cisco:candid:events,REST API + Script,"1 inputs, 1 transforms, 23 bin files, 1 dashboards",Validated,
3821,Cisco Network Assurance Engine App for Splunk Enterprise (Cisco NAE),cisco-app-candid,Cisco Systems,2.5.0,app,,https://splunkbase.splunk.com/app/3821,"August 26, 2020","August 26, 2020"," 2,594 ",developer,Cisco Network Assurance Engine,Cisco Network Assurance Engine,1,No,7777,,TRUE,archived,,,,"2 transforms, 1 saved searches, 2 lookups, 14 dashboards",Validated,
3827,Cisco StealthWatch Add-On,TA-cisco-stealthwatch,Nadhem AlFardan,1.0.0,addon,,https://splunkbase.splunk.com/app/3827,"December 17, 2017","December 17, 2017"," 2,095 ",not_supported,Cisco Secure Network Analytics (SNA),Cisco Secure Network Analytics (SNA),1,No,7404,,TRUE,archived,cisco:stealthwatch:alert,cisco:stealthwatch:alert,,"1 eventtypes, 1 tags, 1 transforms",Validated,
3848,Technology Add-on for Cisco Stealthwatch Data Exporter,TA-stealthwatch_dataexporter,Discovered Intelligence,1,addon,,https://splunkbase.splunk.com/app/3848,"January 9, 2018","January 9, 2018"," 1,105 ",developer,Cisco Secure Network Analytics (SNA),Cisco Secure Network Analytics (SNA),1,No,7404,,TRUE,archived,stealthwatch:fc:flow,stealthwatch:fc:flow,,"1 eventtypes, 1 tags, 3 transforms, 1 lookups",Validated,
3926,Cisco Umbrella Add-On for Splunk,TA-cisco_umbrella,Hurricane Labs,1.0.7,addon,,https://splunkbase.splunk.com/app/3926,"December 10, 2021","December 10, 2021"," 8,823 ",not_supported,Cisco Umbrella,Cisco Umbrella,1,No,7569,,TRUE,archived,opendns:auditlogs|opendns:dnslogs|opendns:firewalllogs|opendns:iplogs|opendns:proxylogs|opendns:s3,"opendns:auditlogs
opendns:dnslogs
opendns:firewalllogs
opendns:iplogs
opendns:proxylogs
opendns:s3",,"4 eventtypes, 4 tags, 13 transforms, 1 lookups",Validated,
3955,Cisco Firepower Threat Defense FTD sourcetype,TA-cisco-firepower-threat-defense-ftd-sourcetype,Juan Jose Ponce Dominguez,1.0.3,addon,,https://splunkbase.splunk.com/app/3955,"October 31, 1974","October 31, 1974"," 3,716 ",not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),2,No,7404,,TRUE,archived,cisco:ftd,cisco:ftd,,1 dashboards,Validated,
4010,Cisco Firepower Threat Defense FTD Dashboards,TA-cisco-firepower-threat-defense-ftd-dashboards,Juan Jose Ponce Dominguez,1.0.0,app,,https://splunkbase.splunk.com/app/4010,"May 14, 2018","May 14, 2018"," 1,815 ",not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),2,No,7404,,TRUE,archived,,,,5 dashboards,Validated,
4015,Cisco openVuln API Query,SA-openVulnQuery,Nathan Worsham,1.1,addon,,https://splunkbase.splunk.com/app/4015,"June 18, 2020","June 18, 2020", 605 ,not_supported,Cisco Product Security Incident Response Team (PSIRT),Cisco Product Security Incident Response Team (PSIRT),1,No,,,TRUE,archived,,,,"3 saved searches, 44 bin files, 3 dashboards",Validated,
4221,Cisco Endpoint Security Analytics (CESA) Add-On for Splunk,TA-Cisco-NVM,Cisco Systems,4.0.7,addon,,https://splunkbase.splunk.com/app/4221,"July 22, 1970","June 25, 2025"," 22,138 ",not_supported,Cisco Secure Email Gateway,Cisco Network Visibility Module (NVM),1,No,,,FALSE,live,cisco:nvm:eve|cisco:nvm:flowdata|cisco:nvm:ifdata|cisco:nvm:osquery|cisco:nvm:processinfodata|cisco:nvm:sysdata,"cisco:nvm:eve
cisco:nvm:flowdata
cisco:nvm:ifdata
cisco:nvm:osquery
cisco:nvm:processinfodata
cisco:nvm:sysdata",,"6 eventtypes, 6 tags, 1 transforms, 1 lookups",Validated,
4251,Cisco Threat Grid Add-On,TA-cisco-threat-grid,Cisco Security,1.1.0,addon,,https://splunkbase.splunk.com/app/4251,"November 4, 2021","November 4, 2021"," 1,399 ",developer,Cisco Threat Grid,Cisco Threat Grid,1,No,7404,,TRUE,archived,cisco:tg:data,cisco:tg:data,REST API,"1 inputs, 971 bin files, 2 dashboards",Validated,
4388,Cisco Secure Firewall App for Splunk,firepower_dashboard,Cisco Security,1.9.1,app,,https://splunkbase.splunk.com/app/4388,"November 20, 2023","February 20, 2024"," 17,984 ",developer,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),1,No,7404,,FALSE,flagged,cisco:estreamer:data|cisco:firepower:syslog|default,"cisco:estreamer:data
cisco:firepower:syslog
default",,,Validated,
4434,TA for Cisco CDR Reporting and Analytics,TA_cisco_cdr,Sideview LLC,8.3.1,addon,,https://splunkbase.splunk.com/app/4434,"February 9, 2026","February 9, 2026"," 2,459 ",developer,"Cisco Unified Communications Manager (CUCM)
Cisco Webex (Webex)","Cisco Unified Communications Manager (CUCM), Cisco Webex (Webex)",1,No,,,FALSE,live,cube_cdr|cube_cdr_compact|cube_syslog|cucm_audit|cucm_cdr|cucm_cmr,"cube_cdr
cube_cdr_compact
cube_syslog
cucm_audit
cucm_cdr
cucm_cmr",Syslog (parsing only),14 transforms,Validated,
4640,Supporting App for AXL,SA_cisco_cdr_axl,Sideview LLC,1.2.7,app,,https://splunkbase.splunk.com/app/4640,"February 9, 2026","February 9, 2026"," 3,215 ",developer,Cisco Unified Communications Manager (CUCM),Cisco Unified Communications Manager (CUCM),1,No,,,FALSE,live,sa_cisco_cdr_axl_log,sa_cisco_cdr_axl_log,,"2 saved searches, 160 bin files, 5 dashboards",Need to Validate,
4761,Cisco SecureX threat response - Custom Search Command,TA-cisco-threat-response,Cisco Security,1.2.2,addon,,https://splunkbase.splunk.com/app/4761,"August 25, 2022","August 25, 2022"," 2,964 ",developer,Cisco SecureX,Cisco SecureX,1,No,7404,,TRUE,archived,cisco:tr:data|ta:cisco:threat:response:log,"cisco:tr:data
ta:cisco:threat:response:log",REST API,"1 inputs, 1706 bin files, 3 dashboards",Validated,
4785,Enosys Add-on for Cisco Firepower eStreamer,Splunk_TA_cisco-estreamer_Enosys,Simon Sigre,1.0.0,addon,,https://splunkbase.splunk.com/app/4785,"November 19, 2019","November 19, 2019", 951 ,developer,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),1,No,7404,,TRUE,archived,cisco:estreamer:data|cisco:estreamer:log|cisco:firepower:syslog,"cisco:estreamer:data
cisco:estreamer:log
cisco:firepower:syslog",Syslog (parsing only),"8 eventtypes, 7 tags, 5 transforms, 5 lookups",Validated,
4817,Cisco Bug Search and Analytics,Cisco_Bug_Search_and_Analytics,Pavel Prostin,0.1.4,app,,https://splunkbase.splunk.com/app/4817,"January 29, 2024","January 29, 2024"," 2,456 ",developer,Cisco Bug Search Tool (BST),Cisco Bug Search Tool (BST),1,No,,,FALSE,flagged,cisco:bugs:csv|cisco:bugs:json,"cisco:bugs:csv
cisco:bugs:json",,"1 eventtypes, 1 tags, 6 transforms, 1 saved searches, 1 lookups, 8 dashboards",Validated,
